external_urls,href,name,type,uri,id
https://open.spotify.com/artist/4wyNyxs74Ux8UIDopNjIai,https://api.spotify.com/v1/artists/4wyNyxs74Ux8UIDopNjIai,King Krule,artist,spotify:artist:4wyNyxs74Ux8UIDopNjIai,4wyNyxs74Ux8UIDopNjIai
https://open.spotify.com/artist/4SQdUpG4f7UbkJG3cJ2Iyj,https://api.spotify.com/v1/artists/4SQdUpG4f7UbkJG3cJ2Iyj,Arca,artist,spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj,4SQdUpG4f7UbkJG3cJ2Iyj
https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,https://api.spotify.com/v1/artists/31uyAcnY0kjjKKIQZMKX4i,Grouper,artist,spotify:artist:31uyAcnY0kjjKKIQZMKX4i,31uyAcnY0kjjKKIQZMKX4i
https://open.spotify.com/artist/7aA592KWirLsnfb5ulGWvU,https://api.spotify.com/v1/artists/7aA592KWirLsnfb5ulGWvU,Danny Brown,artist,spotify:artist:7aA592KWirLsnfb5ulGWvU,7aA592KWirLsnfb5ulGWvU
https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK,https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK,Mitski,artist,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,2uYWxilOVlUdk4oV9DvwqK
https://open.spotify.com/artist/5hE6NCoobhyEu6TRSbjOJY,https://api.spotify.com/v1/artists/5hE6NCoobhyEu6TRSbjOJY,Fever Ray,artist,spotify:artist:5hE6NCoobhyEu6TRSbjOJY,5hE6NCoobhyEu6TRSbjOJY
https://open.spotify.com/artist/4OOlG5eBXSkSAAEeKjJb5Y,https://api.spotify.com/v1/artists/4OOlG5eBXSkSAAEeKjJb5Y,Courtney Barnett,artist,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y,4OOlG5eBXSkSAAEeKjJb5Y
https://open.spotify.com/artist/29XOeO6KIWxGthejQqn793,https://api.spotify.com/v1/artists/29XOeO6KIWxGthejQqn793,Flying Lotus,artist,spotify:artist:29XOeO6KIWxGthejQqn793,29XOeO6KIWxGthejQqn793
https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4
https://open.spotify.com/artist/2ueoLVCXQ948OfhVvAy3Nn,https://api.spotify.com/v1/artists/2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,artist,spotify:artist:2ueoLVCXQ948OfhVvAy3Nn,2ueoLVCXQ948OfhVvAy3Nn
